strain,temperature,treatment,Time(days),replicate,cells,ln_cells
MIT9312,26,0,5,rep2,166077.0,12.020206815212697
MIT9312,26,0,7,rep2,429990.0,12.971517231585372
MIT9312,26,0,8,rep2,716660.0,13.482356809066887
MIT9312,26,0,10,rep2,1460580.0,14.194344175071521
MIT9312,28,0,1,rep2,40107.0,10.599306161651231
MIT9312,28,0,4,rep2,130774.0,11.781225921488108
MIT9312,28,0,5,rep2,208498.0,12.247684727848847
MIT9312,28,0,7,rep2,588760.0,13.285773909306522
MIT9312,28,0,8,rep2,849550.0,13.652462076513904
MIT9312,28,0,10,rep2,1882910.0,14.44832901042692
MED4,14,61,1,rep2,21200.0,9.961756460660103
MED4,14,61,3,rep2,32581.3066507469,10.391493987267927
MED4,14,61,4,rep2,42154.7242835625,10.649102039796007
MED4,14,61,5,rep2,52600.0,10.870471398725801
MED4,14,61,7,rep2,75600.0,11.233211562167625
MED4,14,61,10,rep2,157000.0,11.964001084330445
MED4,16,61,1,rep2,27000.0,10.203592144986466
MED4,16,61,3,rep2,48398.7691440994,10.787229661474315
MED4,16,61,4,rep2,63799.6854650389,11.063503539305664
MED4,16,61,5,rep2,73900.0,11.210468106936293
MED4,16,61,7,rep2,117000.0,11.669929213779893
MED4,16,61,10,rep2,206000.0,12.235631447771718
MED4,19,61,1,rep2,30037.4968226956,10.310201774266794
MED4,19,61,3,rep2,59876.4998287914,11.00003938373212
MED4,19,61,4,rep2,74129.0192534054,11.213562357472938
MED4,19,61,5,rep2,106000.0,11.571194373094205
MED4,19,61,7,rep2,205000.0,12.230765258120545
MED4,19,61,10,rep2,471000.0,13.062613372998555
MED4,22,61,1,rep2,39369.9658761776,10.580758517190585
MED4,22,61,3,rep2,57897.3697397755,10.96642723489149
MED4,22,61,4,rep2,75165.836374973,11.227452103186524
MED4,22,61,5,rep2,102000.0,11.532728092266408
MED4,22,61,7,rep2,159000.0,11.976659481202368
MED4,24,61,1,rep2,33170.308135089,10.409410421469522
MED4,24,61,3,rep2,71671.5725276813,11.179849469973453
MED4,24,61,4,rep2,106757.295679354,11.57831327235606
MED4,24,61,5,rep2,162000.0,11.99535161421452
MED4,24,61,7,rep2,350000.0,12.765688433465597
MED4,26,61,1,rep2,30153.7148469957,10.314063406737663
MED4,26,61,3,rep2,43051.5543778716,10.670153615542539
MED4,26,61,4,rep2,59128.510241704,10.98746849387046
MED4,26,61,5,rep2,112000.0,11.626254150277232
MED4,26,61,7,rep2,132000.0,11.790557201568507
MED4,28,61,1,rep2,27103.1672247193,10.20740587179968
MED4,28,61,3,rep2,16438.7814744312,9.707398546303034
MED4,28,61,4,rep2,7346.11161564791,8.901926420335503
MED4,28,61,5,rep2,1572.0,7.360103972989152
MED4,14,200,1,rep2,18100.0,9.803667217253917
MED4,14,200,3,rep2,32247.8604373102,10.381206976993981
MED4,14,200,4,rep2,40303.7837328215,10.604200632679362
MED4,14,200,5,rep2,50300.0,10.82576035608783
MED4,14,200,7,rep2,74000.0,11.211820372186306
MED4,14,200,10,rep2,149000.0,11.911701584927597
MED4,16,200,1,rep2,28240.0,10.248494691607178
MED4,16,200,3,rep2,42267.9230936371,10.651783758065491
MED4,16,200,4,rep2,66644.7524713105,11.107131589893784
MED4,16,200,5,rep2,79200.0,11.279731577802517
MED4,16,200,7,rep2,129000.0,11.76756768334381
MED4,16,200,10,rep2,231000.0,12.35017298950393
MED4,19,200,1,rep2,31076.0161569267,10.344191615986727
MED4,19,200,3,rep2,57175.2566174855,10.953876507162247
MED4,19,200,4,rep2,76594.1952120378,11.246276572335494
MED4,19,200,5,rep2,107000.0,11.580584113444043
MED4,19,200,7,rep2,194000.0,12.175613438045465
MED4,19,200,10,rep2,426000.0,12.962194625251508
MED4,22,200,1,rep2,37931.0607006984,10.543525598982116
MED4,22,200,3,rep2,55283.1346985108,10.920223162667968
MED4,22,200,4,rep2,73017.9746367166,11.198460917721642
MED4,22,200,5,rep2,86200.0,11.364425456651784
MED4,22,200,7,rep2,183000.0,12.117241431823558
MED4,22,200,10,rep2,324000.0,12.688498794774466
MED4,24,200,1,rep2,35465.791114399,10.476323880292764
MED4,24,200,3,rep2,59132.5981865377,10.987537628092008
MED4,24,200,4,rep2,74672.0622649038,11.22086130203465
MED4,24,200,5,rep2,93600.0,11.446785662465684
MED4,24,200,7,rep2,164000.0,12.007621706806335
MED4,24,200,10,rep2,365000.0,12.80765263256463
MED4,26,200,1,rep2,32249.4610962089,10.38125661188923
MED4,26,200,3,rep2,37422.8024611461,10.530035489090782
MED4,26,200,4,rep2,52269.1104866981,10.864160853898078
MED4,26,200,5,rep2,66800.0,11.109458359524737
MED4,26,200,7,rep2,104000.0,11.55214617812351
MED4,26,200,10,rep2,246000.0,12.4130868149145
MED4,28,200,1,rep2,26541.6215708591,10.186469405147797
MED4,28,200,3,rep2,17244.8075470346,9.75526636538026
MED4,28,200,4,rep2,8323.60476636788,9.02685070517144
MED4,28,200,5,rep2,2891.0,7.969357742016346
MED4,14,400,1,rep2,17500.0,9.769956159911606
MED4,14,400,3,rep2,11258.6546234014,9.328892411731008
MED4,14,400,4,rep2,12107.5176626486,9.401581833095118
MED4,14,400,5,rep2,11500.0,9.350102314351341
MED4,14,400,7,rep2,8796.0,9.082052351674651
MED4,14,400,10,rep2,2927.0,7.9817332866918855
MED4,16,400,1,rep2,28000.0,10.239959789157341
MED4,16,400,3,rep2,23747.1502676253,10.075217813531998
MED4,16,400,4,rep2,21507.7930342651,9.97617061515057
MED4,16,400,5,rep2,22200.0,10.00784756786037
MED4,16,400,7,rep2,20900.0,9.947504437952903
MED4,16,400,10,rep2,12900.0,9.464982590349763
MED4,19,400,1,rep2,30122.2873095883,10.313020618923913
MED4,19,400,3,rep2,41588.1232408256,10.635569906468136
MED4,19,400,4,rep2,43107.7645862869,10.671458412680352
MED4,19,400,5,rep2,41500.0,10.63344870621879
MED4,19,400,7,rep2,40200.0,10.601622274607113
MED4,19,400,10,rep2,35100.0,10.465956409453957
MED4,22,400,1,rep2,41335.0653447908,10.62946645854414
MED4,22,400,3,rep2,43148.9172105851,10.672412602583401
MED4,22,400,4,rep2,42164.9892566838,10.649345517216437
MED4,22,400,5,rep2,34200.0,10.439980923050696
MED4,22,400,7,rep2,1741.0,7.462214939768189
MED4,22,400,10,rep2,212.0,5.356586274672012
MED4,24,400,1,rep2,29557.5125705426,10.294093223028309
MED4,24,400,3,rep2,44101.1729400966,10.694241658362339
MED4,24,400,4,rep2,57322.2054554771,10.956443357396564
MED4,24,400,5,rep2,71600.0,11.178850352948738
MED4,24,400,7,rep2,95900.0,11.47106126087153
MED4,24,400,10,rep2,112000.0,11.626254150277232
MED4,26,400,1,rep2,33600.4378404665,10.422294376832658
MED4,26,400,3,rep2,29903.4504661258,10.305729152925563
MED4,26,400,4,rep2,38465.5854400049,10.557519235847533
MED4,26,400,5,rep2,37900.0,10.542706391070517
MED4,26,400,7,rep2,53100.0,10.87993220723003
MED4,26,400,10,rep2,23900.0,10.081633737919603
MED4,28,400,1,rep2,25783.3470373734,10.157484098840657
MED4,28,400,3,rep2,9641.53306729838,9.173835406837789
MED4,28,400,4,rep2,2505.6935621967,7.8263208463336325
MED4,28,400,5,rep2,1318.0,7.183870715062453
MED4,14,0,1,rep2,18400.0,9.820105943597078
MED4,14,0,3,rep2,31179.8081295708,10.347525988954951
MED4,14,0,4,rep2,45993.1521722902,10.736247798569838
MED4,14,0,5,rep2,54600.0,10.907789161732996
MED4,14,0,7,rep2,93400.0,11.444646624216935
MED4,14,0,10,rep2,205000.0,12.230765258120545
MED4,16,0,1,rep2,25992.9684518288,10.165581336266571
MED4,16,0,3,rep2,51229.5510292313,10.844071813069574
MED4,16,0,4,rep2,71150.0618248918,11.172546472454961
MED4,16,0,5,rep2,90700.0,11.415312636103227
MED4,16,0,7,rep2,173000.0,12.061046873479915
MED4,16,0,10,rep2,426000.0,12.962194625251508
MED4,19,0,1,rep2,30741.4625926801,10.333367595423313
MED4,19,0,3,rep2,57355.3495955776,10.957021397990621
MED4,19,0,4,rep2,67638.3564071313,11.121930503591495
MED4,19,0,5,rep2,119000.0,11.686878772093667
MED4,19,0,7,rep2,267000.0,12.495003937382387
MED4,19,0,10,rep2,556000.0,13.228523573232719
MED4,22,0,1,rep2,35735.2409396993,10.483892622032338
MED4,22,0,3,rep2,62449.3488055162,11.042111088045655
MED4,22,0,4,rep2,87323.9306464895,11.377379823925729
MED4,22,0,5,rep2,128000.0,11.759785542901755
MED4,22,0,7,rep2,324000.0,12.688498794774466
MED4,22,0,10,rep2,919000.0,13.731041401337825
MED4,24,0,1,rep2,30965.4869344271,10.340628538565074
MED4,24,0,3,rep2,70402.2798894808,11.161980926415518
MED4,24,0,4,rep2,89690.3037819391,11.404117946127599
MED4,24,0,5,rep2,146000.0,11.891361900690473
MED4,24,0,7,rep2,291000.0,12.581078546153629
MED4,24,0,10,rep2,755000.0,13.534473028231162
MED4,26,0,1,rep2,35446.7678100659,10.47578735178278
MED4,26,0,3,rep2,44857.3882065017,10.711243585391813
MED4,26,0,4,rep2,67280.9972985849,11.116633117643165
MED4,26,0,5,rep2,105000.0,11.56171562913966
MED4,26,0,7,rep2,221000.0,12.30591798049989
MED4,26,0,10,rep2,550000.0,13.217673557208654
MED4,28,0,1,rep2,27653.8735330762,10.227521088750727
MED4,28,0,3,rep2,19795.7023198919,9.893220138571964
MED4,28,0,4,rep2,15124.3147511796,9.624058976165573
MED4,28,0,5,rep2,12400.0,9.425451751593128
MIT9312,14,90,1,rep3,5508.0,8.613956859848546
MIT9312,16,90,1,rep3,4825.0,8.481566013773087
MIT9312,16,90,4,rep3,808.0,6.694562058521095
MIT9312,16,90,5,rep3,467.0,6.1463292576688975
MIT9312,16,90,7,rep3,382.0,5.945420608606575
MIT9312,16-19,90,1,rep3,4778.0,8.471777327885755
MIT9312,16-19,90,4,rep3,1020.0,6.927557906278317
MIT9312,16-19,90,5,rep3,977.0,6.884486652042782
MIT9312,16-19,90,7,rep3,509.0,6.2324480165505225
MIT9312,16-19,90,8,rep3,340.0,5.8289456176102075
MIT9312,16-19,90,10,rep3,340.0,5.8289456176102075
MIT9312,19,90,1,rep3,34860.0,10.459095319074011
MIT9312,19,90,4,rep3,93708.0,11.447938843450675
MIT9312,19,90,5,rep3,119524.0,11.691272467008773
MIT9312,19,90,7,rep3,230430.0,12.347702407660837
MIT9312,19,90,8,rep3,341590.0,12.741366466463376
MIT9312,19,90,10,rep3,670180.0,13.415301612001814
MIT9312,22,90,1,rep3,58835.0,10.982492194898029
MIT9312,22,90,4,rep3,148923.0,11.911184672828064
MIT9312,22,90,5,rep3,232501.0,12.356649805075568
MIT9312,22,90,7,rep3,631460.0,13.355789877515551
MIT9312,22,90,8,rep3,976740.0,13.791975774830611
MIT9312,22,90,10,rep3,1959700.0,14.488301958267146
MIT9312,24,90,1,rep3,53586.0,10.88904311891194
MIT9312,24,90,4,rep3,244179.0,12.405656841874956
MIT9312,24,90,5,rep3,358404.0,12.789416120734918
MIT9312,24,90,7,rep3,1069380.0,13.882589599245952
MIT9312,24,90,8,rep3,1756190.0,14.378657247779532
MIT9312,24,90,10,rep3,4680730.0,15.358964638635744
MIT9312,26,90,1,rep3,52566.0,10.869824801894419
MIT9312,26,90,4,rep3,147295.0,11.900192657543304
MIT9312,26,90,5,rep3,190839.0,12.159185419624698
MIT9312,26,90,7,rep3,379270.0,12.846003631482795
MIT9312,26,90,8,rep3,480490.0,13.082561695521392
MIT9312,26,90,10,rep3,985370.0,13.80077248413901
MIT9312,28,90,1,rep3,36240.0,10.497918760156915
MIT9312,28,90,4,rep3,99725.0,11.510171676773608
MIT9312,28,90,5,rep3,124081.0,11.728689857134514
MIT9312,28,90,7,rep3,229940.0,12.34557368430773
MIT9312,28,90,8,rep3,359700.0,12.793025629683715
MIT9312,28,90,10,rep3,543240.0,13.205306490218005
MIT9312,14,200,1,rep3,2771.0,7.9269635448629785
MIT9312,16,200,1,rep3,5369.0,8.58839695042257
MIT9312,16,200,4,rep3,467.0,6.1463292576688975
MIT9312,16,200,5,rep3,1489.0,7.305860032684009
MIT9312,16,200,7,rep3,935.0,6.840546529288687
MIT9312,16-19,200,1,rep3,3196.0,8.069655306886165
MIT9312,16-19,200,4,rep3,1233.0,7.117205503164344
MIT9312,16-19,200,5,rep3,680.0,6.522092798170152
MIT9312,16-19,200,7,rep3,1360.0,7.215239978730097
MIT9312,16-19,200,8,rep3,1232.0,7.116394144093465
MIT9312,16-19,200,10,rep3,255.0,5.541263545158426
MIT9312,19,200,1,rep3,35067.0,10.46501579627588
MIT9312,19,200,4,rep3,75240.0,11.228438283414967
MIT9312,19,200,5,rep3,91890.0,11.42834748849493
MIT9312,19,200,7,rep3,149750.0,11.916722515977696
MIT9312,19,200,8,rep3,199680.0,12.2044713641632
MIT9312,19,200,10,rep3,329910.0,12.70657516897309
MIT9312,22,200,1,rep3,44218.0,10.696887224985165
MIT9312,22,200,4,rep3,122283.0,11.714093309560543
MIT9312,22,200,5,rep3,203727.0,12.224536141295712
MIT9312,22,200,7,rep3,538740.0,13.196988358742908
MIT9312,22,200,8,rep3,842960.0,13.64467478627341
MIT9312,22,200,10,rep3,1763680.0,14.382913093197143
MIT9312,24,200,1,rep3,49074.0,10.80108464196303
MIT9312,24,200,4,rep3,150357.0,11.920767745364143
MIT9312,24,200,5,rep3,194983.0,12.180667654258352
MIT9312,24,200,7,rep3,495390.0,13.113100610125144
MIT9312,24,200,8,rep3,658330.0,13.397461604345292
MIT9312,24,200,10,rep3,1728100.0,14.362533097042084
MIT9312,26,200,1,rep3,46617.0,10.749720560454843
MIT9312,26,200,4,rep3,100075.0,11.513675183860775
MIT9312,26,200,5,rep3,135997.0,11.820388105651361
MIT9312,26,200,7,rep3,204540.0,12.228518834360004
MIT9312,26,200,8,rep3,248060.0,12.42142593136932
MIT9312,26,200,10,rep3,578080.0,13.267467546381468
MIT9312,28,200,1,rep3,35913.0,10.48885462591948
MIT9312,28,200,4,rep3,89678.0,11.403980755980855
MIT9312,28,200,5,rep3,102686.0,11.539431067247493
MIT9312,28,200,7,rep3,175150.0,12.073398028625633
MIT9312,28,200,8,rep3,176740.0,12.082435005071995
MIT9312,28,200,10,rep3,175500.0,12.075394321888057
MIT9312,14,400,1,rep3,2903.0,7.97349996402463
MIT9312,16,400,1,rep3,5285.0,8.572627898304338
MIT9312,16,400,4,rep3,467.0,6.1463292576688975
MIT9312,16,400,5,rep3,892.0,6.79346613258001
MIT9312,16,400,7,rep3,4634.0,8.441175704992322
MIT9312,16-19,400,1,rep3,4047.0,8.305731144875866
MIT9312,16-19,400,4,rep3,1361.0,7.215975002651466
MIT9312,16-19,400,5,rep3,637.0,6.456769655572163
MIT9312,16-19,400,7,rep3,595.0,6.38856140554563
MIT9312,16-19,400,8,rep3,255.0,5.541263545158426
MIT9312,16-19,400,10,rep3,808.0,6.694562058521095
MIT9312,19,400,1,rep3,35670.0,10.482065278352938
MIT9312,19,400,4,rep3,56228.0,10.937170132451657
MIT9312,19,400,5,rep3,48768.0,10.794829639046318
MIT9312,19,400,7,rep3,47180.0,10.761725352961665
MIT9312,19,400,8,rep3,48870.0,10.796918990264201
MIT9312,19,400,10,rep3,36140.0,10.49515556414622
MIT9312,22,400,1,rep3,54435.0,10.90476260831528
MIT9312,22,400,4,rep3,131910.0,11.789875150842965
MIT9312,22,400,5,rep3,169448.0,12.040301374073834
MIT9312,22,400,7,rep3,426050.0,12.962311989256103
MIT9312,22,400,8,rep3,591070.0,13.289689732690793
MIT9312,22,400,10,rep3,1250760.0,14.039261924521368
MIT9312,24,400,1,rep3,55942.0,10.932070718708905
MIT9312,24,400,4,rep3,159070.0,11.977099635892406
MIT9312,24,400,5,rep3,201692.0,12.21449706029007
MIT9312,24,400,7,rep3,458580.0,13.035890037464984
MIT9312,24,400,8,rep3,679800.0,13.429553916244153
MIT9312,24,400,10,rep3,1760750.0,14.381250412607656
MIT9312,26,400,1,rep3,47627.0,10.771155106297904
MIT9312,26,400,4,rep3,56358.0,10.93947947922257
MIT9312,26,400,5,rep3,52712.0,10.872598412593655
MIT9312,26,400,7,rep3,27210.0,10.211339831777291
MIT9312,26,400,8,rep3,17420.0,9.765374250406493
MIT9312,26,400,10,rep3,7650.0,8.942460926820582
MIT9312,28,400,1,rep3,41182.0,10.625756546668091
MIT9312,28,400,4,rep3,71722.0,11.180552813554462
MIT9312,28,400,5,rep3,74068.0,11.212738869157706
MIT9312,28,400,7,rep3,69280.0,11.145911543236316
MIT9312,28,400,8,rep3,59050.0,10.986139821625509
MIT9312,28,400,10,rep3,55260.0,10.919804598477407
MIT9312,14,0,1,rep3,3198.0,8.0702808933939
MIT9312,16,0,1,rep3,4519.0,8.41604600941128
MIT9312,16,0,4,rep3,892.0,6.79346613258001
MIT9312,16,0,5,rep3,340.0,5.8289456176102075
MIT9312,16,0,7,rep3,3230.0,8.080237416216702
MIT9312,16-19,0,1,rep3,3536.0,8.170751423757535
MIT9312,16-19,0,4,rep3,552.0,6.313548046277095
MIT9312,16-19,0,5,rep3,552.0,6.313548046277095
MIT9312,16-19,0,7,rep3,893.0,6.794586580876499
MIT9312,16-19,0,8,rep3,467.0,6.1463292576688975
MIT9312,16-19,0,10,rep3,340.0,5.8289456176102075
MIT9312,19,0,1,rep3,37748.0,10.538687773141223
MIT9312,19,0,4,rep3,102262.0,11.535293426432174
MIT9312,19,0,5,rep3,141694.0,11.86142508180416
MIT9312,19,0,7,rep3,341370.0,12.740722212019165
MIT9312,19,0,8,rep3,497040.0,13.116425784737576
MIT9312,19,0,10,rep3,970420.0,13.785484246457301
MIT9312,22,0,1,rep3,46601.0,10.74937727911096
MIT9312,22,0,4,rep3,163912.0,12.007084977427034
MIT9312,22,0,5,rep3,249257.0,12.426239771682488
MIT9312,22,0,7,rep3,869460.0,13.675627608268025
MIT9312,22,0,8,rep3,1419410.0,14.165751850278582
MIT9312,22,0,10,rep3,2814960.0,14.850458609863496
MIT9312,24,0,1,rep3,53415.0,10.885846884379987
MIT9312,24,0,4,rep3,204281.0,12.227251775991423
MIT9312,24,0,5,rep3,286548.0,12.565661340370811
MIT9312,24,0,7,rep3,941160.0,13.754868435994712
MIT9312,24,0,8,rep3,1446360.0,14.18456061337039
MIT9312,24,0,10,rep3,4271980.0,15.267587977963268
MIT9312,26,0,1,rep3,47916.0,10.777204756851221
MIT9312,26,0,4,rep3,117769.0,11.676480357672771
MIT9312,26,0,5,rep3,172454.0,12.057885813225006
MIT9312,26,0,7,rep3,492120.0,13.106477868174105
MIT9312,26,0,8,rep3,687050.0,13.44016234875992
MIT9312,26,0,10,rep3,1255290.0,14.042877179551356
MIT9312,28,0,1,rep3,40592.0,10.611326281839062
MIT9312,28,0,4,rep3,138295.0,11.837144363709355
MIT9312,28,0,5,rep3,173887.0,12.066160941941364
MIT9312,28,0,7,rep3,527470.0,13.175847270677169
MIT9312,28,0,8,rep3,699260.0,13.457777911998772
MIT9312,28,0,10,rep3,1357840.0,14.121405759835413
MED4,14,61,1,rep3,19900.0,9.898475010712584
MED4,14,61,3,rep3,34535.0585003926,10.449730275466697
MED4,14,61,4,rep3,44487.1105473264,10.70295477557561
MED4,14,61,5,rep3,50900.0,10.837618202538614
MED4,14,61,7,rep3,89600.0,11.403110598963021
MED4,14,61,10,rep3,171000.0,12.049418835484797
MED4,16,61,1,rep3,28900.0,10.271596874100524
MED4,16,61,3,rep3,49140.1851046847,10.802432412952175
MED4,16,61,4,rep3,64321.6925180513,11.071652217531069
MED4,16,61,5,rep3,78500.0,11.2708539037705
MED4,16,61,7,rep3,135000.0,11.813030057420567
MED4,16,61,10,rep3,255000.0,12.449018824140563
MED4,19,61,1,rep3,31817.8030863031,10.367781257594482
MED4,19,61,3,rep3,59315.9868643149,10.99063414164229
MED4,19,61,4,rep3,82393.0991303003,11.319256963971783
MED4,19,61,5,rep3,134000.0,11.805595078933049
MED4,19,61,7,rep3,208000.0,12.245293358683455
MED4,19,61,10,rep3,483000.0,13.087771932634709
MED4,22,61,1,rep3,37363.2824951387,10.528443749702124
MED4,22,61,3,rep3,54262.9650915772,10.90159723071283
MED4,22,61,4,rep3,67601.2089082476,11.121381145129252
MED4,22,61,5,rep3,101000.0,11.522875795823397
MED4,22,61,7,rep3,106000.0,11.571194373094205
MED4,24,61,1,rep3,35042.2102536438,10.464308621075942
MED4,24,61,3,rep3,75831.8531252983,11.236273709287694
MED4,24,61,4,rep3,101812.585375034,11.530889003895641
MED4,24,61,5,rep3,169000.0,12.037653993905211
MED4,24,61,7,rep3,325000.0,12.691580461311874
MED4,26,61,1,rep3,24167.7854921387,10.092775847329449
MED4,26,61,3,rep3,33256.9346931237,10.412018586537137
MED4,26,61,4,rep3,48400.9919293581,10.787275586902942
MED4,26,61,5,rep3,79170.0,11.27935271816548
MED4,26,61,7,rep3,108000.0,11.589886506106357
MED4,28,61,1,rep3,24804.1143909692,10.118764821254377
MED4,28,61,3,rep3,16478.9585868991,9.7098396089242
MED4,28,61,4,rep3,11088.2151505268,9.313638125148971
MED4,28,61,5,rep3,5443.0,8.6020856584342
MED4,14,200,1,rep3,18700.0,9.836278802842678
MED4,14,200,3,rep3,29953.9742527279,10.307417290991575
MED4,14,200,4,rep3,34831.7885215655,10.458285712072271
MED4,14,200,5,rep3,47900.0,10.776870783399007
MED4,14,200,7,rep3,74600.0,11.219895786191852
MED4,14,200,10,rep3,138000.0,11.835008964139341
MED4,16,200,1,rep3,27600.0,10.225571051705241
MED4,16,200,3,rep3,36777.1894622663,10.512633080400766
MED4,16,200,4,rep3,71207.7087858509,11.17335636100355
MED4,16,200,5,rep3,80300.0,11.293524899934853
MED4,16,200,7,rep3,110000.0,11.608235644774552
MED4,16,200,10,rep3,216000.0,12.283033686666302
MED4,19,200,1,rep3,30127.3999358248,10.313190333539291
MED4,19,200,3,rep3,55622.371790891,10.926340769649203
MED4,19,200,4,rep3,76279.2544387436,11.242156285659558
MED4,19,200,5,rep3,96900.0,11.481434797878858
MED4,19,200,7,rep3,176000.0,12.078239274020289
MED4,19,200,10,rep3,372000.0,12.826649133255284
MED4,22,200,1,rep3,37084.7100288538,10.52096003504487
MED4,22,200,3,rep3,54140.02393626,10.899329005286036
MED4,22,200,4,rep3,71337.6154741289,11.175179033545303
MED4,22,200,5,rep3,82700.0,11.322974881011783
MED4,22,200,7,rep3,137000.0,11.827736204810263
MED4,22,200,10,rep3,150000.0,11.918390573078392
MED4,24,200,1,rep3,27865.7869856835,10.235154942407023
MED4,24,200,3,rep3,57289.160623232,10.955866715929119
MED4,24,200,4,rep3,67488.6814586476,11.119715180706297
MED4,24,200,5,rep3,94700.0,11.45846927917417
MED4,24,200,7,rep3,175000.0,12.072541252905651
MED4,24,200,10,rep3,307000.0,12.634603026569334
MED4,26,200,1,rep3,32534.2045024918,10.390047261115084
MED4,26,200,3,rep3,41883.9415604493,10.642657776134898
MED4,26,200,4,rep3,56740.4629069025,10.946242866716988
MED4,26,200,5,rep3,69300.0,11.146200185177994
MED4,26,200,7,rep3,113000.0,11.635143097694478
MED4,26,200,10,rep3,254000.0,12.445089546000673
MED4,28,200,1,rep3,25951.4587351058,10.163983100313
MED4,28,200,3,rep3,18174.081381184,9.807751758135879
MED4,28,200,4,rep3,10193.3797107759,9.229493740586403
MED4,28,200,5,rep3,4974.0,8.51197962436335
MED4,14,400,1,rep3,21900.0,9.994241915804592
MED4,14,400,3,rep3,5690.59638036113,8.64657033364224
MED4,14,400,4,rep3,6076.85832781781,8.7122431190148
MED4,14,400,5,rep3,4252.0,8.355144739461839
MED4,14,400,7,rep3,5398.0,8.59378379357795
MED4,14,400,10,rep3,2293.0,7.737616282857904
MED4,16,400,1,rep3,29700.0,10.298902324790792
MED4,16,400,3,rep3,9088.91470348303,9.114810785487105
MED4,16,400,4,rep3,9647.13688659116,9.174416454620122
MED4,16,400,5,rep3,10400.0,9.249561085129464
MED4,16,400,7,rep3,12200.0,9.409191230721348
MED4,16,400,10,rep3,6625.0,8.798605650854423
MED4,19,400,1,rep3,31003.3716294058,10.341851239791996
MED4,19,400,3,rep3,39121.7512608556,10.574433889528558
MED4,19,400,4,rep3,43216.4745965183,10.673977057935218
MED4,19,400,5,rep3,37500.0,10.532096211958502
MED4,19,400,7,rep3,43500.0,10.680516217076775
MED4,19,400,10,rep3,48700.0,10.793434309070681
MED4,22,400,1,rep3,38762.9587585555,10.565220398451356
MED4,22,400,3,rep3,36354.0828380695,10.501061796821201
MED4,22,400,4,rep3,34311.4110726818,10.443233262161614
MED4,22,400,5,rep3,25300.0,10.138559674715612
MED4,22,400,7,rep3,26200.0,10.173514689749188
MED4,22,400,10,rep3,127.0,4.844187086458591
MED4,24,400,1,rep3,39070.245868675,10.573116481059134
MED4,24,400,3,rep3,37673.0985971969,10.536701553666289
MED4,24,400,4,rep3,45011.5560838412,10.71467453764764
MED4,24,400,5,rep3,55000.0,10.915088464214607
MED4,24,400,7,rep3,83300.0,11.330203828154934
MED4,24,400,10,rep3,104000.0,11.55214617812351
MED4,26,400,1,rep3,29771.5443383851,10.301308328323886
MED4,26,400,3,rep3,33934.9667409295,10.432201229055737
MED4,26,400,4,rep3,38290.1850615641,10.552948877616206
MED4,26,400,5,rep3,50100.0,10.821776287072955
MED4,26,400,7,rep3,91300.0,11.421906066583059
MED4,26,400,10,rep3,162000.0,11.99535161421452
MED4,28,400,1,rep3,26039.3034697865,10.167362347492658
MED4,28,400,3,rep3,11078.6182171781,9.312772242883415
MED4,28,400,4,rep3,3992.14295303316,8.292083446668242
MED4,28,400,5,rep3,680.0,6.522092798170152
MED4,14,0,1,rep3,20500.0,9.9281801651265
MED4,14,0,3,rep3,30547.082009322,10.327024444794727
MED4,14,0,4,rep3,49388.4474287816,10.807471818110063
MED4,14,0,5,rep3,56200.0,10.936672035881783
MED4,14,0,7,rep3,98500.0,11.49781182716018
MED4,14,0,10,rep3,217000.0,12.287652632522597
MED4,16,0,1,rep3,27274.4602553188,10.21370602151624
MED4,16,0,3,rep3,51208.5673740578,10.843662128553808
MED4,16,0,4,rep3,65500.6520871914,11.089815377103427
MED4,16,0,5,rep3,85500.0,11.356271654924852
MED4,16,0,7,rep3,134000.0,11.805595078933049
MED4,16,0,10,rep3,308000.0,12.637855061955712
MED4,19,0,1,rep3,29602.2053940315,10.295604144091795
MED4,19,0,3,rep3,56022.7487625292,10.933513115131378
MED4,19,0,4,rep3,75814.1545637855,11.236040289867521
MED4,19,0,5,rep3,128000.0,11.759785542901755
MED4,19,0,7,rep3,242000.0,12.396693005138824
MED4,19,0,10,rep3,580000.0,13.270783382522602
MED4,22,0,1,rep3,43595.8629015595,10.682717537256105
MED4,22,0,3,rep3,63939.7058528492,11.06569582224118
MED4,22,0,4,rep3,88961.9748118238,11.395964308111937
MED4,22,0,5,rep3,152000.0,11.931635799828413
MED4,22,0,7,rep3,282000.0,12.54966234992025
MED4,22,0,10,rep3,807000.0,13.601078947252086
MED4,24,0,1,rep3,31609.7347939427,10.361220415232763
MED4,24,0,3,rep3,53676.0129397889,10.890721494292972
MED4,24,0,4,rep3,81777.8579870499,11.311761801194217
MED4,24,0,5,rep3,121000.0,11.703545824578878
MED4,24,0,7,rep3,216000.0,12.283033686666302
MED4,24,0,10,rep3,508000.0,13.138236726560619
MED4,26,0,1,rep3,32757.3220952917,10.39688179150289
MED4,26,0,3,rep3,45467.6444957897,10.724756241997765
MED4,26,0,4,rep3,67610.1792633612,11.121513831513855
MED4,26,0,5,rep3,76480.0,11.244784547725283
MED4,26,0,7,rep3,177000.0,12.083905011555967
MED4,26,0,10,rep3,404000.0,12.909170156943286
MED4,28,0,1,rep3,27017.5474637774,10.204241839954806
MED4,28,0,3,rep3,19373.1111057354,9.871641358152077
