strain,temperature,treatment,Time(days),replicate,cells,ln_cells
MIT9312,19,400,1,rep1,35541.0,10.478442238622868
MIT9312,19,400,4,rep1,43155.0,10.672553564653757
MIT9312,19,400,5,rep1,36432.0,10.50320278830352
MIT9312,19,400,7,rep1,25090.0,10.130224639360469
MIT9312,19,400,8,rep1,25070.0,10.12942719115234
MIT9312,19,400,10,rep1,21260.0,9.964582651895938
MIT9312,22,400,1,rep1,41504.0,10.63354508711617
MIT9312,22,400,4,rep1,142224.0,11.865158558481456
MIT9312,22,400,5,rep1,229945.0,12.345595428874308
MIT9312,22,400,7,rep1,501470.0,13.125299064056422
MIT9312,22,400,8,rep1,826760.0,13.625269726325772
MIT9312,22,400,10,rep1,1479970.0,14.207532375264583
MIT9312,24,400,1,rep1,53993.0,10.896609687514136
MIT9312,24,400,4,rep1,152289.0,11.933535310404846
MIT9312,24,400,5,rep1,204074.0,12.226237952148296
MIT9312,24,400,7,rep1,444410.0,13.004502838744665
MIT9312,24,400,8,rep1,637230.0,13.36488593688904
MIT9312,24,400,10,rep1,1675790.0,14.331795253844318
MIT9312,26,400,1,rep1,52270.0,10.864177871706968
MIT9312,26,400,4,rep1,61674.0,11.029617727240977
MIT9312,26,400,5,rep1,60752.0,11.014555282471584
MIT9312,26,400,7,rep1,56970.0,10.950280092474442
MIT9312,26,400,8,rep1,59898.0,11.00039839456448
MIT9312,26,400,10,rep1,14450.0,9.578449693540579
MIT9312,28,400,1,rep1,36449.0,10.503669302218212
MIT9312,28,400,4,rep1,65129.0,11.084125197515005
MIT9312,28,400,5,rep1,64801.0,11.079076314320059
MIT9312,28,400,7,rep1,64170.0,11.069291090744562
MIT9312,28,400,8,rep1,46290.0,10.742681234025316
MIT9312,28,400,10,rep1,42930.0,10.667326161218606
MIT9312,14,0,1,rep1,3499.0,8.160232492367689
MIT9312,16,0,1,rep1,4777.0,8.471568013389962
MIT9312,16,0,4,rep1,510.0,6.234410725718371
MIT9312,16,0,5,rep1,850.0,6.745236349484363
MIT9312,16,0,7,rep1,1147.0,7.044905117129371
MIT9312,16-19,0,1,rep1,2810.0,7.940939762327791
MIT9312,16-19,0,4,rep1,765.0,6.639875833826536
MIT9312,16-19,0,5,rep1,1020.0,6.927557906278317
MIT9312,16-19,0,7,rep1,382.0,5.945420608606575
MIT9312,16-19,0,8,rep1,212.0,5.356586274672012
MIT9312,16-19,0,10,rep1,127.0,4.844187086458591
MIT9312,19,0,1,rep1,38648.0,10.562250306234242
