strain,temperature,h2o2,mu,mu_se,slope_eff,slope_eff_se,kdam,kdam_se,kdam_ci_low,kdam_ci_high,kdam_nonzero,r2,n_obs
MIT9312,16,90,-0.2356763901240733,0.11053711685657258,-0.40417856861291385,0.03425240189336147,0.0018722464276537838,0.0012858047985805743,-0.0006479309775641415,0.0043924238328717094,False,0.9329939054298766,12
MIT9312,16-19,90,-0.24614648504609643,0.04781030815865086,-0.19524586709284641,0.07283891503481237,-0.000565562421702778,0.0009680917407344427,-0.0024630222335422854,0.0013318973901367296,False,0.30990356101421124,18
MIT9312,19,90,0.3897984860665756,0.010440651825841743,0.3279543619221909,0.004719401956905848,0.0006871569349376074,0.00012730829954581444,0.00043763266782781115,0.0009366812020474037,True,0.9966975936868958,18
MIT9312,22,90,0.4884934577437151,0.012785135169169825,0.44430127464375435,0.011756070089511796,0.0004910242566662306,0.00019298335668130128,0.00011277687757088015,0.0008692716357615812,True,0.9889222553966084,18
MIT9312,24,90,0.5164083471591566,0.018635371881953827,0.4785806448834644,0.012048953888030964,0.0004203078030632468,0.00024657014502290974,-6.296968118165629e-05,0.0009035852873081499,False,0.9899601752965833,18
MIT9312,26,90,0.3932047484645594,0.011812942628687349,0.2949895935754474,0.017482154187296574,0.0010912794987679108,0.00023443426217411084,0.0006317883449066535,0.001550770652629168,True,0.946795000886136,18
MIT9312,28,90,0.425885860755309,0.01278352592209313,0.22617535006515688,0.03369256160452579,0.0022190056743350236,0.00040040215007803117,0.0014342174601820825,0.003003793888487965,True,0.7379765928237045,18
MIT9312,16,200,-0.2356763901240733,0.11053711685657258,-0.3369361771898052,0.07466182659087299,0.0005062989353286594,0.0006669490713849366,-0.0008009212445858162,0.0018135191152431351,False,0.6706804160117195,12
MIT9312,16-19,200,-0.24614648504609643,0.04781030815865086,-0.19469716768266002,0.04191774291781262,-0.00025724658681718207,0.00031791990884297365,-0.0008803696081494104,0.0003658764345150463,False,0.5741695848656176,18
MIT9312,19,200,0.3897984860665756,0.010440651825841743,0.2800772338644119,0.01099271404402041,0.0005486062610108183,7.580352442367967e-05,0.00040003135314040615,0.0006971811688812305,True,0.9759453130284543,18
MIT9312,22,200,0.4884934577437151,0.012785135169169825,0.42508807073541627,0.006456873477831347,0.0003170269350414942,7.161544812445584e-05,0.00017666065671756076,0.0004573932133654276,True,0.9963220447543313,18
MIT9312,24,200,0.5164083471591566,0.018635371881953827,0.42379386749175,0.01831869022443406,0.000463072398337033,0.00013065713688098819,0.00020698441005029614,0.0007191603866237698,True,0.970972708956736,18
MIT9312,26,200,0.3932047484645594,0.011812942628687349,0.261877519971779,0.010197461294727433,0.0006566361424639019,7.802785246405973e-05,0.0005037015516343448,0.0008095707332934591,True,0.976313708893439,18
MIT9312,28,200,0.425885860755309,0.01278352592209313,0.2454139354369858,0.023215978400248964,0.0009023596265916159,0.00013251416792947588,0.0006426318574498432,0.0011620873957333886,True,0.8747495606026251,18
MIT9312,16,400,-0.2356763901240733,0.11053711685657258,-0.13167743235982438,0.12531281668519145,-0.0002599973944106223,0.0004177451094009059,-0.001078777808836398,0.0005587830200151533,False,0.09943654674550628,12
MIT9312,16-19,400,-0.24614648504609643,0.04781030815865086,-0.2288901226163199,0.05018048037933069,-4.3140906074441296e-05,0.0001732755424411786,-0.0003827609692591513,0.00029647915711026874,False,0.5652859372309245,18
MIT9312,19,400,0.3897984860665756,0.010440651825841743,-0.08738177964268945,0.04166747613222336,0.0011929506642731626,0.00010738906420633155,0.0009824680984287528,0.0014034332301175725,True,0.21560631857797963,18
MIT9312,22,400,0.4884934577437151,0.012785135169169825,0.38170184232828835,0.009458520691701847,0.0002669790385385669,3.9758905839548635e-05,0.00018905158309305157,0.00034490649398408223,True,0.9902709164887947,18
MIT9312,24,400,0.5164083471591566,0.018635371881953827,0.39983196566198853,0.01666299377383773,0.0002914409537429202,6.249662224300958e-05,0.00016894757414662143,0.000413934333339219,True,0.972962464128143,18
MIT9312,26,400,0.3932047484645594,0.011812942628687349,-0.19031578059917678,0.040601593082660765,0.0014588013226593405,0.00010571290644945587,0.001251604026018407,0.001665998619300274,True,0.5786334445536526,18
MIT9312,28,400,0.425885860755309,0.01278352592209313,0.03844226934575665,0.02139062669525814,0.0009686089785238808,6.229854760630044e-05,0.0008465038252155319,0.0010907141318322296,True,0.1679565807767769,18
MED4,14,61,0.2646081105983442,0.004693239443164395,0.22156207563645525,0.0054126931775112476,0.0007056727042932618,0.00011744359308066839,0.0004754832618551518,0.0009358621467313718,True,0.9905413628177936,18
MED4,16,61,0.28685396923716217,0.007035305281877044,0.21679527119787267,0.009208080202530219,0.0011485032465457293,0.0001899689937963222,0.0007761640187049377,0.0015208424743865208,True,0.9719456293513167,18
MED4,19,61,0.3320941324355567,0.007826142810154387,0.2995186130663872,0.00873210471063593,0.0005340249076913028,0.000192228870662175,0.00015725632119343978,0.0009107934941891657,True,0.9865833526908782,18
MED4,22,61,0.35749562779977667,0.010730056197881513,0.23249121250508603,0.017153694838584893,0.002049252709749027,0.00033169219639350033,0.0013991360048177665,0.0026993694146802876,True,0.9339078822623725,15
MED4,24,61,0.3479475456773385,0.013019046125195185,0.37688928349224365,0.007644992237306729,-0.00047445471827713386,0.00024750377981116084,-0.0009595621267070091,1.0652690152741372e-05,False,0.9946794927862255,15
MED4,26,61,0.3183833904398072,0.015016570184130888,0.2510524458065622,0.02406827271579186,0.0011037859775941796,0.0004650594976620416,0.00019226936217657802,0.0020153025930117812,True,0.8932698845878887,15
MED4,28,61,-0.2429884742698706,0.03485584493377169,-0.5019146628262793,0.08371802604182313,0.004244691615678831,0.0014866274660766384,0.00133090178216862,0.007158481449189041,True,0.7823419197676501,12
